[ 2026-03-14 02:58:03 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/HK252/DATN/p2pfl/experiments/fraudTrain.csv_fraudTest.csv_RandomIIDPartitionStrategy_FedAvg_model_build_fn_20260314_025803 and copied fraud.yaml
[ 2026-03-14 02:58:03 | None | INFO ] Set simulation heartbeat: timeout=10s, period=2s
[ 2026-03-14 02:59:54 | node | INFO ] InMemoryServer started at node
[ 2026-03-14 02:59:54 | node | INFO ] 🏁 Starting gossiper...
[ 2026-03-14 02:59:54 | None | INFO ] 🚀 Created 0/3 nodes, waiting 0.50s...
[ 2026-03-14 02:59:55 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-03-14 02:59:55 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-03-14 02:59:56 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-03-14 02:59:56 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-03-14 02:59:56 |  | INFO ] Connected nodes node and node_1
[ 2026-03-14 02:59:56 |  | INFO ] Connected nodes node and node_2
[ 2026-03-14 02:59:56 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-03-14 02:59:56 | None | INFO ] 📡 Performing global simulation discovery for 3 nodes...
[ 2026-03-14 02:59:56 | None | INFO ] ⌛ Waiting for direct topology connections (2-2 per node)...
[ 2026-03-14 02:59:56 | None | INFO ] ✅ Network topology ready.
[ 2026-03-14 02:59:56 | node | INFO ] 🚀 Broadcasting start learning to 3 nodes...
[ 2026-03-14 02:59:56 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2026-03-14 02:59:56 | node_2 | INFO ] 🔍 Neighbors found: ['node', 'node_1'] | Degree: 2
[ 2026-03-14 02:59:57 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2026-03-14 02:59:57 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2026-03-14 02:59:57 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_2'] | Degree: 2
[ 2026-03-14 02:59:57 | node | INFO ] ⏳ Waiting initialization.
[ 2026-03-14 02:59:57 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2026-03-14 02:59:58 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-03-14 02:59:58 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-03-14 02:59:59 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 02:59:59 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 02:59:59 | node | INFO ] 🤫 Gossip finished.
