[ 2026-02-13 08:33:43 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/Documents/HK252/DATN/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260213_083342 and copied mnist.yaml
[ 2026-02-13 08:33:53 | ActorPool | WARNING ] No GPUs available. Actors will run on CPU only.
[ 2026-02-13 08:33:53 | ActorPool | INFO ] Initialized with 4 actors, 0 GPU per actor
[ 2026-02-13 08:33:53 | node | INFO ] InMemoryServer started at node
[ 2026-02-13 08:33:53 | node | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 08:33:53 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-02-13 08:33:53 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 08:33:53 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-02-13 08:33:53 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 08:33:53 |  | INFO ] Connected nodes node and node_1
[ 2026-02-13 08:33:54 |  | INFO ] Connected nodes node and node_2
[ 2026-02-13 08:33:54 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-02-13 08:33:54 | node | INFO ] 🚀 Broadcasting start learning...
[ 2026-02-13 08:33:54 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2026-02-13 08:33:54 | node_2 | INFO ] 🔍 Neighbors found: ['node', 'node_1'] | Degree: 2
[ 2026-02-13 08:33:54 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 08:33:54 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 08:33:54 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_2'] | Degree: 2
[ 2026-02-13 08:33:54 | node | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 08:33:54 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 08:33:54 | node_1 | INFO ] 🤖 Model Weights Initialized
[ 2026-02-13 08:33:54 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 08:33:54 | node_2 | INFO ] 🤖 Model Weights Initialized
[ 2026-02-13 08:33:54 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 08:33:55 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:33:55 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:33:55 | node | INFO ] 🤫 Gossip finished.
